,Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
1905,2023-01-20 20:15:00,41,10423.3,3121.3,3121.3,3121.3,12000.0
1906,2023-01-20 20:30:00,42,8974.4,3736.7,3736.7,3736.7,12000.0
1907,2023-01-20 20:45:00,42,8241.4,3800.3,3800.3,3800.3,12000.0
1908,2023-01-20 21:00:00,43,5142.2,4418.7,3438.0,3438.0,7999.12
1909,2023-01-20 21:15:00,43,4516.0,4807.5,3105.2,3105.2,5694.07
1910,2023-01-20 21:30:00,44,4340.8,3554.5,2495.66,2495.65,5200.77
1911,2023-01-20 21:45:00,44,4206.7,3716.4,2192.73,2192.73,6077.04
1912,2023-01-20 22:00:00,45,3743.7,4077.4,2084.5,2084.5,4530.16
1913,2023-01-20 22:15:00,45,3851.2,3987.3,1986.2,1986.2,5090.14
1914,2023-01-20 22:30:00,46,3734.6,3948.9,1970.1,1970.1,5049.05
1915,2023-01-20 22:45:00,46,3787.9,4302.8,2167.5,2167.5,4412.02
1916,2023-01-20 23:00:00,47,3775.3,5167.7,2322.2,2322.2,3640.5
1917,2023-01-20 23:15:00,47,3583.9,5218.7,2144.1,2144.1,3595.87
1918,2023-01-20 23:30:00,48,3587.5,4948.8,2271.4,2271.4,3680.14
1919,2023-01-20 23:45:00,48,3568.5,5077.8,2150.8,2150.8,3680.54
1920,2023-01-21 00:00:00,1,2764.3,4242.2,1256.6,1256.6,3425.45
1921,2023-01-21 00:15:00,1,2683.5,4507.5,1333.5,1333.5,3000.78
1922,2023-01-21 00:30:00,2,2537.9,3124.8,1367.63,1367.63,2959.95
1923,2023-01-21 00:45:00,2,2626.8,3057.9,1307.6,1307.6,3100.48
1924,2023-01-21 01:00:00,3,2894.5,4000.8,1439.7,1439.7,4000.63
1925,2023-01-21 01:15:00,3,2815.8,4310.0,1719.4,1719.4,2900.86
1926,2023-01-21 01:30:00,4,2870.5,4054.7,1544.7,1544.7,3500.41
1927,2023-01-21 01:45:00,4,2892.0,4003.6,1510.7,1510.7,3571.89
1928,2023-01-21 02:00:00,5,2301.6,4133.0,1506.62,1506.62,2875.12
1929,2023-01-21 02:15:00,5,2470.1,3993.3,1468.5,1468.5,3000.32
1930,2023-01-21 02:30:00,6,2377.6,4184.5,1467.88,1467.88,2822.65
1931,2023-01-21 02:45:00,6,2379.8,4323.1,1470.09,1470.08,2822.41
1932,2023-01-21 03:00:00,7,2413.0,4290.0,1649.7,1649.7,2700.68
1933,2023-01-21 03:15:00,7,2430.6,4521.0,1788.5,1788.5,2600.98
1934,2023-01-21 03:30:00,8,2461.5,4584.8,1840.2,1840.2,2701.0
1935,2023-01-21 03:45:00,8,2561.2,4507.7,1859.87,1859.87,2822.31
1936,2023-01-21 04:00:00,9,2699.6,4387.2,1862.0,1862.0,3100.02
1937,2023-01-21 04:15:00,9,2615.0,4580.6,1909.09,1909.09,2822.45
1938,2023-01-21 04:30:00,10,2998.8,4253.7,1918.4,1918.4,3500.68
1939,2023-01-21 04:45:00,10,2869.3,4078.1,1808.7,1808.7,3650.18
1940,2023-01-21 05:00:00,11,3214.6,4746.9,2163.7,2163.7,3851.16
1941,2023-01-21 05:15:00,11,3338.2,4540.6,2338.6,2338.6,3719.92
1942,2023-01-21 05:30:00,12,4285.3,4877.3,3072.4,3072.4,5000.1
1943,2023-01-21 05:45:00,12,4630.2,4805.4,3092.7,3092.7,5200.59
1944,2023-01-21 06:00:00,13,4592.4,4331.3,3167.91,3167.91,6000.2
1945,2023-01-21 06:15:00,13,5192.4,3971.9,3197.82,3197.82,7520.06
1946,2023-01-21 06:30:00,14,6529.7,3463.0,3048.84,3048.84,8002.08
1947,2023-01-21 06:45:00,14,7422.6,2817.4,2561.01,2561.01,10520.22
1948,2023-01-21 07:00:00,15,5262.8,2615.7,2346.3,2346.3,9999.92
1949,2023-01-21 07:15:00,15,5956.4,2634.2,2440.72,2440.72,11520.97
1950,2023-01-21 07:30:00,16,7383.8,3039.4,3039.4,3039.4,12000.0
1951,2023-01-21 07:45:00,16,7896.0,3010.7,3010.7,3010.7,12000.0
