2026-05-19 01:43:17,113 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 27, 'Datetime': '2023-01-01 06:45:00', 'Session ID': 14, 'Purchase Bid (MW)': 4053.2, 'Sell Bid (MW)': 3882.4, 'MCV (MW)': 2641.7, 'Final Scheduled Volume (MW)': 2641.7, 'MCP (Rs/MWh) *': 5529.23}
2026-05-19 01:43:18,115 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 28, 'Datetime': '2023-01-01 07:00:00', 'Session ID': 15, 'Purchase Bid (MW)': 3779.6, 'Sell Bid (MW)': 4302.0, 'MCV (MW)': 2793.1, 'Final Scheduled Volume (MW)': 2793.1, 'MCP (Rs/MWh) *': 4900.39}
2026-05-19 01:43:19,119 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 29, 'Datetime': '2023-01-01 07:15:00', 'Session ID': 15, 'Purchase Bid (MW)': 4002.1, 'Sell Bid (MW)': 3879.1, 'MCV (MW)': 2734.9, 'Final Scheduled Volume (MW)': 2734.9, 'MCP (Rs/MWh) *': 5799.15}
2026-05-19 01:43:20,121 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 30, 'Datetime': '2023-01-01 07:30:00', 'Session ID': 16, 'Purchase Bid (MW)': 3963.9, 'Sell Bid (MW)': 4020.1, 'MCV (MW)': 2792.2, 'Final Scheduled Volume (MW)': 2792.2, 'MCP (Rs/MWh) *': 5400.3}
2026-05-19 01:43:21,123 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 31, 'Datetime': '2023-01-01 07:45:00', 'Session ID': 16, 'Purchase Bid (MW)': 4495.1, 'Sell Bid (MW)': 3960.6, 'MCV (MW)': 2975.0, 'Final Scheduled Volume (MW)': 2975.0, 'MCP (Rs/MWh) *': 5799.55}
2026-05-19 01:43:22,124 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 32, 'Datetime': '2023-01-01 08:00:00', 'Session ID': 17, 'Purchase Bid (MW)': 3864.4, 'Sell Bid (MW)': 4132.4, 'MCV (MW)': 2801.3, 'Final Scheduled Volume (MW)': 2801.3, 'MCP (Rs/MWh) *': 5000.43}
2026-05-19 01:43:23,126 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 33, 'Datetime': '2023-01-01 08:15:00', 'Session ID': 17, 'Purchase Bid (MW)': 3982.4, 'Sell Bid (MW)': 3956.4, 'MCV (MW)': 2479.1, 'Final Scheduled Volume (MW)': 2479.1, 'MCP (Rs/MWh) *': 5529.39}
2026-05-19 01:43:24,128 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 34, 'Datetime': '2023-01-01 08:30:00', 'Session ID': 18, 'Purchase Bid (MW)': 4553.0, 'Sell Bid (MW)': 3797.5, 'MCV (MW)': 2951.0, 'Final Scheduled Volume (MW)': 2951.0, 'MCP (Rs/MWh) *': 6000.16}
2026-05-19 01:43:25,131 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 35, 'Datetime': '2023-01-01 08:45:00', 'Session ID': 18, 'Purchase Bid (MW)': 4510.3, 'Sell Bid (MW)': 3921.2, 'MCV (MW)': 3075.3, 'Final Scheduled Volume (MW)': 3075.3, 'MCP (Rs/MWh) *': 6000.01}
2026-05-19 01:43:26,134 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 36, 'Datetime': '2023-01-01 09:00:00', 'Session ID': 19, 'Purchase Bid (MW)': 4010.9, 'Sell Bid (MW)': 3385.5, 'MCV (MW)': 2541.1, 'Final Scheduled Volume (MW)': 2541.1, 'MCP (Rs/MWh) *': 6000.14}
2026-05-19 01:43:27,136 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 37, 'Datetime': '2023-01-01 09:15:00', 'Session ID': 19, 'Purchase Bid (MW)': 4539.2, 'Sell Bid (MW)': 3426.6, 'MCV (MW)': 2704.5, 'Final Scheduled Volume (MW)': 2704.5, 'MCP (Rs/MWh) *': 6000.34}
2026-05-19 01:43:28,138 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 38, 'Datetime': '2023-01-01 09:30:00', 'Session ID': 20, 'Purchase Bid (MW)': 5647.8, 'Sell Bid (MW)': 3366.3, 'MCV (MW)': 3051.2, 'Final Scheduled Volume (MW)': 3051.2, 'MCP (Rs/MWh) *': 8200.28}
2026-05-19 01:43:29,140 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 39, 'Datetime': '2023-01-01 09:45:00', 'Session ID': 20, 'Purchase Bid (MW)': 5623.2, 'Sell Bid (MW)': 3356.2, 'MCV (MW)': 3041.1, 'Final Scheduled Volume (MW)': 3041.1, 'MCP (Rs/MWh) *': 8200.14}
