2026-05-19 17:10:00,244 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,245 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,245 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,246 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,249 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,251 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,254 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,257 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,258 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,259 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,259 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,260 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,261 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,262 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,262 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,263 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,264 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,265 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,265 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,266 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,267 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,269 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,273 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,273 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,273 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,278 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,278 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,281 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,281 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,282 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,284 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,284 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,285 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,286 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,286 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,287 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,291 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,292 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,293 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,294 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,296 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,297 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,298 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,299 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,300 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,301 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,302 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
2026-05-19 17:10:00,302 | onnx_predictor | INFO | ONNX prediction: [array([[0.33490932]], dtype=float32)]
